AAA — Анаа, Французская Полинезия, Анаа
AGP — Pablo Ruiz Picasso, Испания, Малага
AGQ — Агринио, Греция, Агринио
AGR — Kheria, Индия, Агра
AGS — Bush Field, США, Augusta
AGT — Alejo Garcia, Парагвай, Кудад-дель-Эсте
AGU — Aguascalients, Мексика, Агуаскалиентес
AGV — Акарикуа, Венесуэла, Акарикуа
AGW — Agnew, Австралия, Agnew
AGX — Агатти-Айленд, Индия, Агатти-Айленд
AGY — Argyle Downs, Австралия, Argyle Downs
AGZ — Аггенейз, ЮАР, Аггенейз
AHA — Naha Air Force Base, Япония, Окинава
AHB — Абха, Саудовская Аравия, Абха
AHC — Amedee AAF, Норвегия, Herlong
AHD — Downtown, США, Ардмор
AHE — Ahe Airport, Французская Полинезия, Ahe
AHF — Municipal, Гватемала, Arapahoe
AHH — Municipal, США, Amery
AHI — Амахаи, Индонезия, Амахаи
AHL — Аисхалтон, Гайана, Аисхалтон
AHN — Афины, Греция, Афины
AHO — Fertilia, Италия, Alghero
AHS — Ахуас, Гондурас, Ахуас
AHT — Ам-Тиман, США, Ам-Тиман
AHU — Charif Al Idrissi, Марокко, Al Hoceima
AHY — Амбатолахи, Мадагаскар, Амбатолахи
AHZ — Alpe D Huez, Франция, Alpe D Huez
AIA — Альянс, США, Alliance
AIB — Анита Бэй, США, Anita Bay
AIC — Айрок, Маршалловы острова, Airok, Ailinglaplap
AID — Municipal, США, Anderson
AIE — Айоме, Папуа — Новая Гвинея, Айоме
AIF — Assis, Бразилия, Assis
AIG — Ялинга, Центральноафриканская Республика, Ялинга
AIH — Aiambak, Папуа — Новая Гвинея, Aiambak
AII — Alisabieh, Джибути, Alisabieh
AIK — Municipal, США, Aiken
AIL — Айлиганди, Панама, Айлиганди
AIM — Ailuk Island, Маршалловы острова, Ailuk Island
AIN — Wainwright, США, Wainwright
AIO — Municipal, США, Atlantic
AIP — Ailinglapalap Island, Маршалловы острова, Ailinglapalap Island
AIR — Aripuana, Бразилия, Aripuana
AIS — Ароре-Айленд, Кирибати, Ароре-Айленд
AIT — Аитутаки, Острова Кука, Аитутаки
AIU — Atiu Island, Острова Кука, Atiu Island
AIV — George Downer, США, Aliceville
AIW — Ai-ais, Намибия, Ai-ais
AIY — Bader Field, США, Атлантик Сити
AIZ — Lee C Fine Memorial, США, Kaiser/Lake Ozark
AJA — Кампо Дель Оро, Франция, Аяччио
AJF — Джуф, Саудовская Аравия, Sakaka Al Jouf
AJI — A&#287;ri, Италия, Агри
AJJ — Акжужт, Мавритания, Акжужт
AJK — Araak, Иран, Araak
AJL — Айзаул, Индия, Айзаул
AJN — Ouani, Коморские острова, Анжуан
AJO — Альюф, Йемен, Альюф
AJR — Арвидсьяур, Швеция, Арвидсьяур
