AAA — Анаа, Французская Полинезия, Анаа
CPT — Cape Town International, ЮАР, Кейптаун
CPU — Cururupu, Бразилия, Cururupu
CPV — Joao Suassuna, Бразилия, Campina Grande
CPX — Culebra, Пуэрто Рико, Culebra
CQA — Canarana Airport, Бразилия, Canarana
CQD — Shahre-kord, Иран, Shahre-kord
CQF — Кале, Франция, Кале
CQP — Кейп-Флеттери, Австралия, Кейп-Флеттери
CQS — Costa Marques, Бразилия, Costa Marques
CQT — Какуэтаниа, Колумбия, Какуэтаниа
CRA — Крайова, Румыния, Крайова
CRB — Collarenebri, Австралия, Collarenebri
CRC — Картаго, Колумбия, Картаго
CRD — Comodoro Rivadavia, Аргентина, Comodoro Rivadavia
CRE — Grand Strand Airport, США, Миртл Бич
CRF — Карнот, Центральноафриканская Республика, Карнот
CRG — Craig Municipal, США, Jacksonville
CRH — Cherribah, Австралия, Cherribah
CRI — Crooked Island, Теркс и Кайкос, Crooked Island
CRJ — Курабье, Австралия, Курабье
CRK — Diosdado Macapagal International (Clark Int), Филиппины, Angeles City
CRL — Charleroi Brussels South, Бельгия, Брюссель
CRM — National, Филиппины, Катарман
CRN — Кромарти, Великобритания, Кромарти
CRO — Corcoran, США, Corcoran
CRP — Corpus Christi International Airport, США, Corpus Christi, TX
CRQ — Каравелас, Бразилия, Каравелас
CRR — Керес, Аргентина, Керес
CRS — Corsicana, США, Corsicana
CRT — Municipal, США, Crossett
CRU — Carriacou Is, Сент-Винсент и Гренадины, Carriacou Is
CRV — Кротоне, Италия, Кротон
CRW — Yeager, США, Charleston
CRX — Roscoe Turner, США, Коринт
CRY — Carlton Hill, Австралия, Carlton Hill
CRZ — Turkmenabad, Туркменистан, Turkmenabad
CSA — Isle Of Colonsay, Великобритания, Isle Of Colonsay
CSB — Карансебеш, Румыния, Карансебеш
CSC — Канас, Коста-Рика, Канас
CSD — Cresswell Downs, Австралия, Cresswell Downs
CSE — Crested Butte, США, Crested Butte
CSF — Creil, Франция, Creil
CSH — Соловки, Россия, Соловецкий
CSI — Давид, США, Феникс
CSJ — Cape St Jacques, Вьетнам, Cape St Jacques
CSK — Кеп-Скирринг, Сенегал, Кеп-Скирринг
CSM — Sherman, США, Clinton
CSN — Carson City, США, Carson City
CSO — Cochstedt, Германия, Cochstedt
CSP — Coast Guard Heliport, Канада, Cape Spencer
CSQ — Municipal, США, Creston
CSR — Касуарито, Колумбия, Касуарито
CSS — Cassilandia, Бразилия, Cassilandia
CST — Кастэвей, Фиджи, Кастэвей
CSU — Santa Cruz Do Sul, Бразилия, Santa Cruz Do Sul
CSV — Memorial, США, Crossville
CSW — Colorado do Oeste, Бразилия, Colorado do Oeste
CSX — Чангша, Китай, Чанша
CSY — Чебоксары, Россия, Чебоксары
CSZ — Brig D Hector Eduardo Ruiz, Аргентина, Coronel Suarez
CTA — Fontanarossa, Италия, Катания
CTB — Cut Bank, США, Cut Bank
CTC — Катамарка, Аргентина, Катамарка
CTD — Chitre, Панама, Chitre
CTE — Карти, Панама, Карти
CTF — Coatepeque Airport, Гватемала, Coatepeque
CTG — Rafael Nunez, Колумбия, Картегена
CTH — Chestercounty Carlson, США, Coatesville
CTI — Куито, Ангола, Куито
CTK — Canton, США, Canton
CTL — Charleville, Австралия, Charleville
CTM — Четумал, Белиз, Четумал
CTN — Куктаун, Австралия, Куктаун
CTO — Peconic River, США, Calverton
CTP — Carutapera, Бразилия, Carutapera
CTQ — Do Palmar, Бразилия, Santa Vitoria
CTR — Кэттл-Крик, Австралия, Кэттл-Крик
CTS — New Chitose Airport, Япония, Саппоро
CTT — Ле-Кастейе, Франция, Ле-Кастейе
CTU — Shuangliu, Китай, Ченгду
CTW — Cottonwood, США, Cottonwood
CTX — Cortland, США, Cortland
CTY — Cross City, США, Cross City
CTZ — Sampson County, США, Clinton
CUA — Сиудад-Конститусьон, Мексика, Сиудад-Конститусьон
CUB — Owens Field, США, Колумбия
CUC — Camilo Dazo, Колумбия, Cucuta
CUD — Калундра, Австралия, Калундра
CUE — Куенка, Эквадор, Куенка
CUF — Levaldigi, Италия, Кунео
CUG — Cudal, Австралия, Cudal
CUH — Municipal, США, Cushing
CUI — Куррилло, Колумбия, Куррилло
CUJ — Кулион, Филиппины, Кулион
CUK — Caye Caulker, Белиз, Caye Caulker
CUL — Fedl De Bachigualato, Мексика, Culiacan
CUM — Кумана, Венесуэла, Кумана
CUN — Cancъn International, Мексика, Канкун
CUO — Каруру, Колумбия, Каруру
CUP — Карупано, Венесуэла, Карупано
CUQ — Coen, Австралия, Coen
CUR — Hato International Airport, Нидерландские Антильские острова, Curacao
CUS — Municipal, США, Columbus
CUT — Cutral, Аргентина, Cutral
CUU — Gen Fierro Villalobos, Мексика, Чихуахуа
CUV — Casigua, Венесуэла, Casigua
CUW — Cube Cove, США, Cube Cove
CUX — Cuddihy Field, США, Корпус Кристи
CUY — Cue, Австралия, Cue
CUZ — Velazco Astete, Перу, Куско
CVA — Civic Ar Heli, США, Питтсборо
CVB — Chungribu, Папуа — Новая Гвинея, Chungribu
CVC — Cleve, Австралия, Cleve
CVE — Ковенас, Колумбия, Ковенас
CVF — Куршевель, Франция, Куршевель
CVG — Cincinnati/northern Kentucky, США, Covington, KY
CVH — Кавиахуэ, Аргентина, Кавиахуэ
CVI — Калета-Оливия, Аргентина, Калета-Оливия
CVJ — General Mariano Matamoros Airport, Мексика, Куернавака
CVL — Кейп-Вогель, Папуа — Новая Гвинея, Кейп-Вогель
CVM — Сиудад-Виктория, Мексика, Сиудад-Виктория
CVN — Municipal, США, Clovis
CVO — Олбани, США, Олбани
CVQ — Carnarvon, Австралия, Carnarvon
CVR — Hughes, США, Culver City
CVS — Cannon AFB, США, Clovis
CVT — West Midlands International, Великобритания, Coventry
CVU — Corvo Island, Португалия, Corvo Island
CWA — Central Wisconsin, США, Wausau
CWB — Afonso Pena International Airport, Бразилия, Куритиба
CWC — Черновцы, Украина, Черновцы
CWG — Callaway Gardens, США, Callaway Gardens
CWI — Clinton, США, Clinton
CWL — Cardiff-wales Arpt, Великобритания, Cardiff
CWO — Ft Wolter AAF, Индонезия, Mineral Wells
CWP — Кампбеллпур, Пакистан, Кампбеллпур
CWR — Cowarie, Австралия, Cowarie
CWS — Center Island, Китай, Center Island
CWT — Cowra, Австралия, Cowra
CWW — Corowa, Австралия, Corowa
CXA — Caicara Del Orinoco, Венесуэла, Caicara Del Orinoco
CXC — Chitina Arpt, США, Chitina
CXF — Coldfoot, США, Coldfoot
CXH — Coal Harbour, Канада, Ванкувер
CXI — Cassidy International Airport, Кирибати, Christmas Island
CXJ — Campo Dos Bugres, Бразилия, Касьяс ду Суль
CXL — International, США, Calexico
CXN — Кандала, Сомали, Кандала
CXO — Montgomery Co, США, Conroe
CXP — Tunggul Wulung, Индонезия, Cilacap
CXQ — Christmas Creek, Австралия, Christmas Creek
CXR — Nah Trang (No longer in operation), Вьетнам, Нха Транг
CXT — Charters Towers, Австралия, Charters Towers
CXY — Cat Cays, Багамские острова, Cat Cays
CYA — Лес-Кейес, Гаити, Лес-Кейес
CYB — Gerrard-Smith, Каймановы острова, Cayman Brac Is
CYC — Кайе-Чапел, Белиз, Кайе-Чапел
CYE — Crystal Lake, США, Crystal Lake
CYF — Chefornak SPB, США, Chefornak
CYG — Corryong, Австралия, Corryong
CYI — Чиайи, Тайвань, Чиайи
CYL — Койолес, Гондурас, Койолес
CYM — Chatham SPB, Канада, Chatham
CYO — Кайо Ларго Дель Сур, Куба, Кайо Ларго Дель Сур
CYP — Калбайог, Филиппины, Калбайог
CYR — Laguna De Los Patos, Уругвай, Колония
CYS — Чейнни, США, Чейнни
CYT — Intermediate, США, Yakataga
CYU — Cuyo, Филиппины, Cuyo
CYX — Якут, Россия, Черский
CYZ — Кауаян, Филиппины, Кауаян
CZA — Чинчен Ица, Мексика, Чинчен Ица
CZB — Carlos Ruhl, Бразилия, Cruz Alta
CZC — Copper Centre, Италия, Copper Centre
CZE — Коро, Венесуэла, Коро
CZF — Cape Romanzof, США, Cape Romanzof
CZH — Коросал, Белиз, Корозал
CZJ — Corazon De Jesus, Панама, Corazon De Jesus
CZK — Cascade Locks/Stevens, США, Cascade Locks
CZL — Ain El Bey, Алжир, Constantine
CZM — Коцумел, Мексика, Коцумел
CZN — Chisana Field, США, Chisana
CZO — Chistochina, США, Chistochina
CZP — Cape Pole, США, Cape Pole
CZS — Intl. Airpt. Cruzeiro Do Sul, Бразилия, Cruzeiro Do Sul
CZT — Carrizo Springs, США, Carrizo Springs
CZU — Коросал, Колумбия, Корозал
CZW — Честокова, Польша, Щесточова
CZX — Чангзу, Китай, Чангзу
CZY — Cluny, Австралия, Cluny
CZZ — Campo, Гаити, Campo
DAA — Davison AAF, США, Fort Belvoir
DAB — Regional, США, Дайтона Бич
DAC — Zia International, Бангладеш, Dhaka
DAD — Да-Нанг, Вьетнам, Да-Нанг
DAE — Дапаризо, Индия, Дапаризо
DAF — Доп, Папуа — Новая Гвинея, Доп
DAG — Barstow-Daggett, США, Daggett
DAH — Датина, Йемен, Датина
DAI — Дарджилинг, Индия, Дарцзилин
DAJ — Dauan Island, Австралия, Dauan Island
DAK — Dakhla, Египет, Dakhla Oasis
DAL — Love Field, США, Даллас
DAM — International, Сирия, Дамаск
DAN — Municipal, США, Danville
DAO — Dabo, Эритрея, Dabo
DAP — Дарчула, Непал, Дарчула
DAR — International, Танзания, Dar Es Salaam
DAS — Great Bear Lake, Канада, Great Bear Lake
DAT — Датон, Китай, Датонг
DAU — Дару, Папуа — Новая Гвинея, Дару
DAV — Enrique Malek, Панама, Давид
DAX — Дэцзян, Китай, Дэцзян
DAY — James Cox Dayton Intl, США, Dayton, Oh
DAZ — Дарваз, Афганистан, Дарваз
DBA — Далбандин, Пакистан, Далбандин
DBB — Alalamain Intl., Египет, Dabaa City
DBD — Дханбад, Индия, Дханбад
DBM — Дебра-Маркос, Эфиопия, Дебра-Маркос
DBN — Municipal, США, Дублин
DBO — Дуббо, Австралия, Дуббо
DBP — Debepare, Папуа — Новая Гвинея, Debepare
DBQ — Municipal, США, Дюбюк
DBS — Dubois, США, Dubois
DBT — Дебра-Табор, Эфиопия, Дебра-Табор
DBU — Dambulu Oya Tank, Мозамбик, Dambula
DBV — Дубровник, Хорватия, Дубровник
DBY — Dalby, Австралия, Dalby
DCA — Reagan Washington National, США, Washington, DC
DCF — Cane Field, Доминика, Roseau
DCI — Rafsu Decimomannu, Италия, Decimomannu
DCK — Dahl Creek Arpt, США, Dahl Creek
DCM — Mazamet, Франция, Кастре
DCR — Decatur Hi-Way, США, Decatur
DCT — Duncan Town, Багамские острова, Duncan Town
DCU — Pyor, США, Decatur
DDC — Dodge City Municipal, США, Dodge City
DDG — Дандун, Китай, Даньдон
DDI — Daydream Is, Австралия, Daydream Is
DDM — Додоима, Папуа — Новая Гвинея, Додоима
DDN — Delta Downs, Австралия, Delta Downs
DDP — Dorado Beach, Пуэрто Рико, Dorado
DDU — Даду, Пакистан, Даду
DEA — Dera Ghazi Khan, Пакистан, Dera Ghazi Khan
DEB — Дебрецен, Венгрия, Дебрецен
DEC — Decatur Arpt, США, Decatur
DED — Дера Дун, Индия, Дера Дун
DEF — Dezful, Иран, Dezful
DEH — Municipal, США, Decorah
DEI — Denis Island, Сейшельские о-ва, Denis Island
DEL — Indira Gandhi Intl, Индия, Нью Дели
DEM — Дембидолло, Эфиопия, Дембидолло
DEN — Международный аэропорт Денвер, США, Денвер
DEO — Hyatt Regency H/P, США, Диарборн
DEP — Deparizo, Иран, Deparizo
DER — Дерим, Папуа — Новая Гвинея, Дерим
DES — Десрочес, Сейшельские о-ва, Десрочес
DET — Detroit City, США, Детройт
DEZ — Al Jafrah, Сирия, Deirezzor
DFI — Memorial, США, Defiance
DFP — Drumduff, Австралия, Drumduff
DFW — Dallas/Fort Worth International, США, Dallas, TX
DGA — Дангрига, Белиз, Дангрига
DGB — Danger Bay, США, Danger Bay
DGC — Дегабур, Эфиопия, Дегабур
DGD — Dalgaranga, Австралия, Dalgaranga
DGE — Муджи, Австралия, Муджи
DGF — Bisbee-douglas International, США, Douglas
DGG — Daugo, Папуа — Новая Гвинея, Daugo
DGK — Dugong, Филиппины, Dugong
DGL — Douglas Municipal, Чад, Douglas
DGM — Dongguan, Китай, Dongguan
DGN — NAF, Норвегия, Dahlgren
DGO — Guadalupe Victoria, Мексика, Дуранго
DGP — Даугавпилс, Латвия, Даугавпилс
DGR — Даргавиль, Новая Зеландия, Даргавиль
DGT — Думагете, Филиппины, Думагете
DGU — Дедугу, Буркина-Фасо, Дедугу
DGW — Converse County, США, Douglas
DHA — Дахран, Саудовская Аравия, Дхахран
DHD — Durham Downs, Австралия, Durham Downs
DHF — Al Dhafra Military Apt, ОАЭ, Абу-Даби
DHI — Дхангархи, Непал, Дхангархи
DHL — Дала, Йемен, Дала
DHM — Gaggal Airport, Индия, Дхарамсала
DHN — Dothan Arpt, США, Dothan
DHR — De Kooy/Den Helder Airport, Нидерланды, Den Helder
DHT — Dalhart, Джибути, Dalhart
DIB — Дибругарх, Индия, Дибругарх
DIC — Dili City Heliport, Индонезия, Дили
DIE — Antsiranana/Arrachart, Мадагаскар, Antsiranana
DIG — Diqing, Китай, Diqing
DIJ — Дижон, Франция, Дижон
DIK — Dickinson, США, Dickinson
DIL — Presidente Nicolau Lobato International Airport, Индонезия, Дили
DIM — Dimbokro, Кот д’Ивуар, Dimbokro
DIN — Dien Bien, Вьетнам, Dien Bien Phu
DIO — Diomede Island, США, Diomede Island
DIP — Диапага, Буркина-Фасо, Диапага
DIQ — Divinopolis, Бразилия, Divinopolis
DIR — Aba Tenna D Yilma, Эфиопия, Dire Dawa
DIS — Loubomo, Конго, Loubomo
DIU — Diu, Индия, Diu
DIV — Divo, Кот д’Ивуар, Divo
DIW — Mawella Lagoon, Шри-Ланка, Диквелла
DIY — Диярбакыр, Турция, Диярбакыр
DJA — Джугу, Бенин, Джугу
DJB — Sultan Taha Syarifudn, Индонезия, Джамби
DJE — Djerba-zarzis, Тунис, Джерба
DJG — Inedbirenne, Алжир, Djanet
DJJ — Sentani, Индонезия, Jayapura
DJM — Джамбала, Конго, Джамбала
DJN — Delta Junction, США, Delta Junction
DJO — Daloa, Кот д’Ивуар, Daloa
DJU — Джупивогур, Исландия, Джупивогур
DKI — Данк Айленд, Австралия, Данк Айленд
DKK — Dunkirk, США, Dunkirk
DKR — Dakar-Yoff-Lйopold Sйdar Senghor International, Сенегал, Дакар
DKS — Диксон, Россия, Диксон
DKV — Docker River, Австралия, Docker River
DLA — Дуала, Камерун, Дуала
DLC — Далиан, Китай, Далиан
DLD — Dagali Airport, Норвегия, Гейло
DLE — Tavaux, Франция, Dole
DLF — Laughlin Afb, США, Дель Рио
DLG — Municipal, США, Dillingham
DLH — Duluth International, США, Duluth
DLI — Lienkhang, Вьетнам, Далат
DLK — Dulkaninna, Австралия, Dulkaninna
DLL — Dillon, США, Dillon
DLM — Даламан, Турция, Даламан
DLN — Dillon, США, Dillon
DLO — Dolomi, США, Dolomi
DLP — Disneyland Paris, Франция, Disneyland Paris
DLS — Columbia Gorge Regional/The Dalles Municipal Airport, США, The Dalles
DLU — Дали, Китай, Dali City
DLV — Delissaville, Австралия, Delissaville
DLY — Диллонс-Бей, Вануату, Диллонс-Бей
DLZ — Dalanzadgad, Монголия, Dalanzadgad
DMA — Davis Monthan AFB, США, Туксон
DMB — Жамбыл, Казахстан, Жамбыл
DMD — Doomadgee, Австралия, Doomadgee
DME — Домодедово, Россия, Москва
DMN — Deming, США, Deming
DMO — Sedalia, США, Sedalia
DMR — Дамар, Йемен, Дамар
DMT — Diamantino, Бразилия, Diamantino
DMU — Димапур, Индия, Димапур
DNA — Kadena AB, Япония, Окинава
DNB — Dunbar, Австралия, Dunbar
DNC — Danane, Кот д’Ивуар, Danane
DND — Данди, Великобритания, Данди
DNE — Dallas North Airport, США, Даллас
DNF — Martuba, Ливия, Дерна
DNG — Doongan, Филиппины, Doongan
DNH — Дунхуань, Китай, Дунхуань
DNI — Вад-Медани, Судан, Вад-Медани
DNK — Днепропетровск, Украина, Днепропетровск
DNL — Daniel Field, США, Augusta, GA
DNM — Denham, Австралия, Denham
DNN — Municipal, США, Dalton
DNO — Dianopolis, Бразилия, Dianopolis
DNP — Данг, Непал, Данг
DNQ — Deniliquin, Австралия, Deniliquin
DNR — Pleurtuit, Франция, Динард
DNS — Municipal, США, Denison
DNT — Downtown Heliport, Колумбия, Санта-Ана
DNU — Динангат, Папуа — Новая Гвинея, Динангат
DNV — Vermilion County, США, Danville, IL
DNX — Galegu, Эфиопия, Диндер
DNZ — Cardak, Турция, Денизли
DOA — Доани, Мадагаскар, Доани
DOB — Dobo Airport, Индонезия, Dobo
DOC — Дорноч, Великобритания, Дорноч
DOD — Додома, Танзания, Додома
DOE — Дьомье, Суринам, Дьомье
DOF — Dora Bay, США, Dora Bay
DOG — Донгола, Судан, Донгола
DOH — Доха, Катар, Доха
DOI — Дойни, Папуа — Новая Гвинея, Дойни
DOK — Донецк, Украина, Донецк
DOL — St Gatien, Франция, Дювиль
DOM — Melville Hall, Доминика, Доминика
DON — Дос-Лагунас, Гватемала, Дос-Лагунас
DOO — Доробисоро, Папуа — Новая Гвинея, Доробисоро
DOP — Дольпа, Непал, Дольпа
DOR — Дори, Буркина-Фасо, Дори
DOS — Диос, Папуа — Новая Гвинея, Диос
DOU — Dourados, Бразилия, Dourados
DOV — Dover AFB, США, Dover-Cheswold
DOX — Dongara, Австралия, Dongara
DOY — Dongying, Китай, Dongying
DPA — Dupage County, США, Чикаго
DPE — Диеппе, Франция, Дьеп
DPG — Michael AAF, США, Dugway
DPK — Deer Park, США, Deer Park
DPL — Диполог, Филиппины, Диполог
DPO — Девонпорт, Австралия, Девонпорт
DPS — Ngurah Rai International, Индонезия, Denpasar, Bali
DPU — Думпу, Папуа — Новая Гвинея, Думпу
DRA — Desert Rock, США, Mercury
DRB — Derby, Австралия, Derby
DRC — Dirico, Ангола, Dirico
DRD — Dorunda Station, Австралия, Dorunda Station
DRE — Drummond Island, США, Drummond Island
DRF — Drift River, США, Drift River
DRG — Deering, США, Deering
DRH — Dabra, Индонезия, Dabra
DRI — Beauregard Parish, Нидерланды, De Ridder
DRJ — Дриетаббетье, Суринам, Дриетаббетье
DRM — Драма, Греция, Драма
DRN — Dirranbandi, Австралия, Dirranbandi
DRO — La Plata, США, Дуранго
DRR — Durrie, Австралия, Durrie
DRS — Dresden Arpt, Германия, Дрезден
DRT — International, США, Дель Рио
DRU — Drummond, США, Drummond
DRW — Дарвин, Австралия, Дарвин
DRY — Drysdale River, Австралия, Drysdale River
DSA — Robin Hood, Великобритания, Doncaster Sheffield
DSC — Дшанг, Камерун, Дшанг
DSD — Ла-Дезираде, Гваделупа, Ла-Дезираде
DSE — Combolcha, Эфиопия, Десси
DSG — Dilasag, Филиппины, Dilasag
DSI — Destin-Fort Walton Beach Airport, США, Дестин
DSK — Дера-Исмаил-Хан, Пакистан, Дера-Исмаил-Хан
DSL — Дару, Сьерра-Леоне, Дару
DSM — Des Moines International, США, Des Moines, IA
DSN — Dongsheng, Китай, Dongsheng
DSV — Dansville, США, Dansville
DTA — Delta, США, Delta
DTD — Датадавай, Индонезия, Датадавай
DTE — Camarines Norte, Филиппины, Дает
DTH — Долина Смерти, США, Долина Смерти
DTL — Municipal, США, Detroit Lakes
DTM — Дортмунд, Германия, Дортмунд
DTN — Shreveport Downtown, США, Shreveport, LA
DTR — Decatur Island, США, Decatur Island
DTW — Detroit Metropolitan Wayne County, США, Detroit, MI
DUA — Eaker, США, Durant
DUB — Дублин, Ирландия, Дублин
DUC — Halliburton Field, США, Duncan
DUD — Dunedin International, Новая Зеландия, Дунедин
DUE — Дундо, Ангола, Дундо
DUF — Pine Island Airport, США, Corolla, NC
DUG — Bisbee-Douglas Intl, США, Douglas
DUJ — Du Bois-Jefferson County, США, Du Bois
DUK — Dukuduk, ЮАР, Dukuduk
DUM — Pinang Kampai, Индонезия, Думаи
DUN — Дундас, Гренландия, Дундас
DUQ — Duncan/Quam, Канада, Duncan/Quam
DUR — Durban International, ЮАР, Дурбан
DUS — Dьsseldorf International Airport (rhein-ruhr), Германия, Дюссельдорф
DUT — Emergency Field, США, Dutch Harbor
DVA — Дева, Румыния, Дева
DVK — Diavik, Канада, Diavik
DVL — Devils Lake, США, Devils Lake
DVN — Davenport, США, Davenport
DVO — Francisco Bangoy International, Филиппины, Davao
DVP — Davenport Downs, Австралия, Davenport Downs
DVR — Daly River, Австралия, Daly River
DVT — Phoenix Deer Valley Airport, США, Феникс
DWA — Dwangwa, Малави, Dwangwa
DWB — Соалала, Мадагаскар, Соалала
DWD — Dawadmi, Саудовская Аравия, Dawadmi
DWF — Wright AFB, Канада, Dayton
DWH — David Wayne Hooks, США, Хьюстон
DWN — Downtown Airpark, США, Оклахома Сити
DWS — Walt Disney World, США, Орландо
DXA — До-Альпес, Франция, До-Альпес
DXB — Дубай, ОАЭ, Дубай
DXD — Dixie, Австралия, Dixie
DXR — Danbury Municipal Airport, США, Danbury, CT
DYA — Dysart, Австралия, Dysart
DYG — Дэань, Китай, Дэань
DYL — Doylestown, США, Doylestown
DYM — Diamantina Lakes, Австралия, Diamantina Lakes
DYR — Угольный, Россия, Анадырь
DYS — Dyess AFB, США, Abilene
DYU — Душанбе, Таджикистан, Dushanbe
DYW — Daly Waters, Австралия, Daly Waters
DZA — Dzaoudzi, Коморские острова, Dzaoudzi
DZI — Кодаси, Колумбия, Кодаси
DZN — Жезказган, Казахстан, Жезказган
DZO — Santa Bernardina, Уругвай, Durazno
DZU — Дазу, Китай, Дазу
EAA — Eagle, США, Eagle
EAB — Аббсе, Йемен, Аббсе
EAE — Эмей, Вануату, Эмей
EAL — Elenak, Маршалловы острова, Kwajalein Atoll
EAM — Неджран, Саудовская Аравия, Неджран
EAN — Phifer Field, США, Wheatland
EAR — Kearney, США, Kearney
EAS — Donostia — San Sebastian, Испания, Сан-Себастьян
EAT — Pangborn Field, США, Wenatchee
EAU — Chippewa Valley Regional Airport, США, Eau Claire, WI
EBA — Марина Ди Кампо, Италия, Остров Эльба
EBB — Entebbe, Уганда, Entebbe
EBD — Эль-Обейд, Судан, Эль-Обейд
EBG — El Bagre, Колумбия, El Bagre
EBJ — Эсбьерг, Дания, Эсбьерг
EBM — Эль-Борма, Тунис, Эль-Борма
EBN — Эбадон, Маршалловы острова, Эбадон
EBO — Ebon Airport, Маршалловы острова, Ebon
EBR — Downtown, Центральноафриканская Республика, Батон Руж
EBS — Municipal, США, Webster City
EBU — Boutheon, Франция, Сент Етьенн
EBW — Эболова, Камерун, Эболова
ECA — Emmet County Airport, США, East Tawas
ECG — Elizabeth City, США, Elizabeth City, NC
ECH — Эчука, Австралия, Эчука
ECN — Эркан, Кипр, Lefkosa
ECO — Эль-Энканто, Колумбия, Эль-Энканто
ECR — Эль-Чарко, Колумбия, Эль-Чарко
ECS — Mondell, США, Ньюкасл
EDA — Edna Bay, США, Edna Bay
EDB — Eldebba, Судан, Eldebba
EDD — Erldunda, Австралия, Erldunda
EDE — Municipal, США, Edenton
EDF — Elmendorf Afb, США, Анкораж
EDG — Weide AAF, США, Edgewood
EDI — Turnhouse, Великобритания, Эдинбург
EDK — Эль-Дорадо, США, Эль-Дорадо
EDL — Элдорет, Кения, Элдорет
EDM — Les Ajoncs, Франция, Ла-Рош
EDO — Edremit/korfez, Турция, Edremit/korfez
EDQ — Эрандике, Гондурас, Эрандике
EDR — Edward River, Австралия, Edward River
EDW — Edwards AFB, США, Edwards AFB
EED — Needles, США, Needles
EEK — Eek, США, Eek
EEN — Dillant-Hopkins, США, Keene
EFB — Eight Fathom Bight, США, Eight Fathom Bight
EFD — Ellington Field, США, Хьюстон
EFG — Эфоги, Папуа — Новая Гвинея, Эфоги
EFK — Newport, США, Newport
EFL — Kefalonia Istland International Airport, Греция, Кефалония
EFO — East Fork, США, East Fork
EFW — Municipal, США, Jefferson
EGA — Энгати, Папуа — Новая Гвинея, Энгати
EGC — Roumanieres, Франция, Бержерак
EGE — Eagle County, США, Vail/Eagle
EGI — Duke Field, США, Вальпараисо
EGL — Негелли, Эфиопия, Негелли
EGM — Сиж, Соломоновы острова, Сиж
EGN — Geneina, Судан, Geneina
EGO — Белгород, Россия, Белгород
EGP — Maverick Co, США, Eagle Pass
EGS — Эгилсстадир, Исландия, Эгилсстадир
EGV — Eagle River, США, Eagle River
EGX — Egegik, США, Egegik
EHL — Эль-Больсон, Аргентина, Эль-Больсон
EHM — Cape Newenham, США, Cape Newenham
EHT — Rentschler, США, East Hartford
EIA — Попондетта, Папуа — Новая Гвинея, Эйя
EIB — Айзенах, Германия, Айзенах
EIE — Енисейск, Россия, Енисейск
EIH — Einasleigh, Австралия, Einasleigh
EIL — Eielson AFB, США, Fairbanks
EIN — Эйндховен, Нидерланды, Эйндховен
EIS — Beef Island, Британские Виргинские острова, Beef Island
EIY — Эйн-Яхав, Израиль, Эйн-Яхав
EJA — Variguies, Колумбия, Барранкабермежа
EJH — Ведих, Саудовская Аравия, Ведих
EJT — Enijet, Маршалловы острова, Mili Atoll
EKA — Murray Field, США, Eureka, CA
EKB — Экибастуз, Казахстан, Экибастуз
EKD — Elkedra, Австралия, Elkedra
EKE — Экереку, Гайана, Экереку
EKI — Municipal, США, Elkhart
EKN — Elkins, США, Elkins
EKO — Elko Regional, США, Elko, NV
EKT — Эскилстуна, Швеция, Эскилстуна
EKX — Elizabethtown, США, Elizabethtown
ELA — Eagle Lake, США, Eagle Lake
ELB — San Bernado, Колумбия, Эль-Банко
ELC — Elcho Island, Австралия, Elcho Island
ELD — Goodwin Field, США, Эль-Дорадо
ELE — Эль-Реал, Панама, Эль-Реал
ELF — Эль-Фашер, Судан, Эль-Фашер
ELG — Djamet, Алжир, Эль-Голеа
ELH — International, Багамские острова, North Eleuthera
ELI — Elim, США, Elim
ELJ — Эль-Рекрео, Колумбия, Эль-Рекрео
ELK — Municipal, США, Elk City
ELL — Эллисрас, ЮАР, Эллисрас
ELM — Elmira Corning Regional, США, Corning, NY
ELN — Bowers Field, США, Ellensburg
ELO — Эльдорадо, Аргентина, Эльдорадо
ELP — El Paso International Airport, США, Эль Пасо
ELQ — Gassim Regional Airport, Саудовская Аравия, Buraidah
ELR — Elelim, США, Elelim
ELS — Ист Лондон, ЮАР, Ист-Лондон
ELT — Тур-Синай-Сити, Египет, Тур-Синай-Сити
ELU — Guemar, Алжир, El Oued
ELV — Elfin Cove SPB, США, Elfin Cove
ELW — Ellamar, США, Ellamar
ELX — El Tigre, Венесуэла, El Tigre
ELY — Yelland, США, Ely
ELZ — Municipal, США, Wellsville
EMA — East Midlands, Великобритания, Derby
EMB — Embarkadero, Аргентина, Сан-Кристобаль
EMD — Emerald, Австралия, Emerald
EME — Эмден, Германия, Эмден
EMG — Эмпангени, ЮАР, Эмпангени
EMI — Эмирау, Папуа — Новая Гвинея, Эмирау
EMK — Emmonak, США, Emmonak
EML — Вейкфилд-Вестгейт, Швейцария, Люцерн
EMM — Kemerer, США, Kemerer
EMN — Нема, Мавритания, Нема
EMO — Эмо, Папуа — Новая Гвинея, Эмо
EMP — Emporia, США, Emporia
EMS — Эмбесса, Папуа — Новая Гвинея, Эмбесса
EMT — El Monte, США, El Monte
EMX — Эль-Майтен, Аргентина, Эль-Майтен
EMY — Эль-Минья, Египет, Эль-Минья
ENA — Kenai, США, Kenai
ENB — Eneabba West, Австралия, Eneabba West
ENC — Essey, Франция, Ненси
END — Vance Afb, США, Enid
ENE — Энде, Индонезия, Энде
ENF — Енонтекио, Финляндия, Енонтекио
ENH — Энши, Китай, Энши
ENI — El Nido, Филиппины, El Nido
